Time	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
407	60.87	57.17	42.47	29.22	25.74	23.80	23.09	22.43
408	60.62	57.30	42.25	29.23	25.79	23.81	23.10	22.44
409	60.35	57.13	42.05	29.35	25.78	23.82	23.10	22.45
410	60.14	56.76	42.09	29.55	25.80	23.85	23.12	22.44
411	60.30	57.36	42.49	29.78	25.84	23.86	23.13	22.45
412	60.80	57.50	42.74	29.89	25.85	23.88	23.13	22.45
413	61.16	57.61	43.01	29.93	25.86	23.88	23.15	22.45
414	61.41	57.76	43.18	29.71	25.84	23.89	23.17	22.47
415	61.65	57.95	43.33	29.60	25.84	23.90	23.18	22.45
416	61.85	57.97	43.26	29.44	25.82	23.92	23.16	22.41
417	61.89	58.03	43.14	29.33	25.82	23.93	23.15	22.39
418	61.94	58.14	43.39	29.16	25.78	23.93	23.14	22.40
419	62.17	58.17	43.55	29.33	25.80	23.93	23.13	22.40
420	62.37	58.24	43.74	29.42	25.84	23.93	23.12	22.38
421	62.46	58.30	43.76	29.35	25.85	23.95	23.13	22.39
422	62.50	58.31	43.91	29.19	25.82	23.96	23.13	22.38
423	62.59	58.17	43.96	29.15	25.83	23.97	23.13	22.37
424	62.62	58.28	44.14	29.35	25.82	23.98	23.14	22.39
425	62.74	58.44	44.24	29.28	25.83	23.99	23.15	22.38
426	62.82	58.51	44.33	29.33	25.84	23.99	23.14	22.38
427	62.82	58.50	44.18	29.48	25.90	24.02	23.15	22.40
428	62.90	58.59	44.33	29.55	25.94	24.04	23.19	22.42
429	63.02	58.71	44.52	29.60	26.01	24.06	23.21	22.41
430	63.08	58.77	44.12	29.52	26.02	24.07	23.20	22.40
431	63.11	58.78	43.99	29.35	25.98	24.08	23.20	22.40
432	63.03	58.77	44.05	29.31	25.98	24.08	23.19	22.38
433	63.01	58.81	44.29	29.28	26.00	24.09	23.17	22.39
434	63.07	58.90	44.25	29.34	26.01	24.11	23.20	22.40
435	63.10	58.79	43.76	29.57	26.02	24.13	23.21	22.39
436	63.12	58.53	44.03	29.86	26.03	24.13	23.21	22.39
437	62.96	58.68	44.11	29.68	26.03	24.14	23.23	22.38
438	62.81	58.48	43.95	29.42	26.10	24.17	23.25	22.38
439	62.18	58.43	44.09	29.39	26.19	24.17	23.26	22.39
440	62.19	58.88	43.98	29.45	26.19	24.18	23.25	22.39
441	62.44	59.07	43.82	29.31	26.17	24.19	23.25	22.38
442	62.66	58.96	43.82	29.22	26.15	24.20	23.25	22.37
443	62.45	59.13	44.12	29.30	26.14	24.21	23.27	22.38
444	62.87	59.38	44.38	29.26	26.14	24.22	23.28	22.38
445	63.16	59.36	43.87	29.16	26.16	24.24	23.27	22.35
446	63.23	59.40	43.58	29.10	26.20	24.25	23.27	22.34
447	63.45	59.58	44.07	29.28	26.23	24.27	23.26	22.36
448	63.53	59.67	44.41	29.37	26.29	24.28	23.27	22.36
449	63.64	59.75	44.56	29.61	26.34	24.30	23.30	22.34
450	63.78	59.82	44.59	29.53	26.35	24.32	23.30	22.35
451	63.88	59.92	44.69	29.71	26.45	24.33	23.30	22.36
452	64.02	59.90	44.89	30.03	26.50	24.33	23.30	22.35
453	64.06	60.01	45.05	30.30	26.50	24.34	23.31	22.34
454	64.06	60.08	45.09	30.31	26.53	24.36	23.33	22.34
455	64.20	60.17	45.29	30.26	26.52	24.37	23.34	22.34
456	64.24	60.17	45.14	30.39	26.52	24.39	23.36	22.35
457	64.25	60.22	45.33	30.31	26.50	24.38	23.37	22.35
458	64.25	60.25	45.45	30.26	26.49	24.40	23.37	22.35
459	64.28	60.17	44.96	30.23	26.46	24.40	23.36	22.35
460	64.29	60.19	44.52	30.31	26.45	24.42	23.37	22.34
461	64.32	60.22	44.58	30.33	26.50	24.44	23.39	22.33
462	64.40	60.31	44.75	30.49	26.51	24.45	23.40	22.35
463	64.56	60.51	45.16	30.60	26.52	24.46	23.41	22.35
464	64.67	60.63	45.24	30.47	26.61	24.48	23.42	22.35
465	64.79	60.70	45.43	30.38	26.65	24.50	23.42	22.36
466	64.83	60.46	45.35	30.47	26.66	24.51	23.43	22.35
467	64.63	60.59	45.56	30.34	26.66	24.52	23.41	22.33
468	64.71	60.76	45.67	30.36	26.66	24.52	23.42	22.34
469	64.85	60.87	45.67	30.37	26.64	24.53	23.42	22.34
470	64.91	60.91	44.97	30.22	26.61	24.55	23.42	22.33
471	64.95	60.53	44.75	30.39	26.63	24.55	23.42	22.31
472	64.86	60.64	44.90	30.45	26.67	24.56	23.40	22.28
473	65.02	60.99	45.37	30.28	26.71	24.57	23.37	22.27
474	65.15	61.06	45.41	30.27	26.78	24.59	23.39	22.29
475	65.25	61.16	45.33	30.39	26.82	24.60	23.41	22.31
476	65.30	61.20	45.25	30.39	26.89	24.63	23.45	22.31
477	65.21	60.90	45.03	30.59	26.92	24.63	23.46	22.29
478	65.17	60.79	45.34	30.91	26.94	24.65	23.46	22.30
479	65.32	61.21	45.83	30.81	27.04	24.68	23.46	22.31
480	65.44	61.36	45.67	30.79	27.14	24.69	23.48	22.33
481	65.49	61.30	45.48	30.76	27.11	24.70	23.49	22.34
482	65.62	61.55	45.98	30.58	27.10	24.71	23.54	22.36
483	65.73	61.68	45.84	30.56	27.11	24.74	23.57	22.35
484	65.79	61.63	45.64	30.54	27.11	24.75	23.57	22.34
485	65.74	61.79	45.68	30.50	27.12	24.75	23.57	22.34
486	65.78	61.69	46.06	30.37	27.09	24.76	23.57	22.33
487	65.22	61.71	45.99	30.28	27.08	24.77	23.57	22.33
488	65.45	61.93	45.94	30.31	27.10	24.78	23.56	22.34
489	65.65	61.94	46.13	30.30	27.10	24.79	23.57	22.35
490	65.82	61.98	46.26	30.32	27.11	24.79	23.59	22.35
491	66.01	62.04	46.34	30.73	27.15	24.81	23.59	22.32
492	66.18	62.11	46.77	30.84	27.21	24.83	23.59	22.35
493	66.30	62.20	46.83	30.84	27.22	24.84	23.61	22.33
494	66.38	62.27	46.66	30.78	27.24	24.85	23.59	22.31
495	66.46	62.35	46.79	30.75	27.31	24.87	23.60	22.34
496	66.49	62.36	46.57	30.70	27.32	24.88	23.62	22.32
497	66.42	62.31	46.17	30.80	27.31	24.90	23.62	22.32
498	66.49	62.19	46.39	30.75	27.36	24.91	23.62	22.32
499	66.56	62.39	46.67	30.71	27.34	24.92	23.63	22.29
500	66.52	62.48	46.46	30.73	27.36	24.95	23.69	22.32
501	66.65	62.35	46.42	30.80	27.42	24.98	23.70	22.32
502	66.85	62.65	46.65	31.01	27.49	25.01	23.72	22.35
503	66.96	62.63	46.54	31.21	27.61	25.02	23.74	22.37
504	66.88	62.59	46.67	31.46	27.71	25.04	23.76	22.38
505	66.76	62.82	47.11	31.66	27.71	25.04	23.73	22.30
506	66.92	62.91	47.41	31.73	27.71	25.05	23.70	22.29
507	66.99	63.03	47.08	31.73	27.72	25.05	23.70	22.29
508	67.02	62.85	46.79	31.36	27.70	25.07	23.70	22.30
509	66.95	63.05	47.04	31.09	27.71	25.08	23.73	22.31
510	67.14	63.17	46.96	31.13	27.73	25.09	23.73	22.31
511	67.30	63.18	47.40	31.49	27.74	25.10	23.71	22.30
512	67.42	63.29	47.61	31.45	27.72	25.11	23.72	22.31
513	67.43	63.34	47.61	31.41	27.75	25.12	23.73	22.29
514	67.39	63.34	47.32	31.40	27.84	25.15	23.76	22.28
515	67.39	63.34	47.16	31.65	27.90	25.17	23.75	22.28
516	67.36	63.31	47.42	31.81	27.97	25.18	23.78	22.30
517	67.38	63.37	47.35	31.92	28.01	25.19	23.78	22.26
518	67.36	63.39	47.61	32.03	27.94	25.19	23.75	22.25
519	67.30	63.36	47.16	31.84	27.92	25.20	23.76	22.26
520	67.42	63.43	46.95	31.72	27.94	25.22	23.76	22.24
521	67.44	63.54	46.90	31.57	27.97	25.24	23.79	22.27
522	67.21	63.09	47.22	31.83	27.98	25.26	23.82	22.27
523	67.06	63.38	47.36	31.87	27.96	25.27	23.82	22.25
524	67.29	63.59	46.92	31.75	27.97	25.29	23.82	22.26
525	67.46	63.52	46.51	31.37	27.92	25.29	23.82	22.27
526	67.43	63.31	46.52	31.25	27.95	25.29	23.81	22.27
527	67.44	63.54	47.17	31.12	27.88	25.30	23.82	22.28
528	67.55	63.73	47.29	31.34	27.84	25.32	23.84	22.31
529	67.59	63.71	47.57	31.42	27.88	25.33	23.85	22.31
530	67.75	63.78	47.55	31.55	27.94	25.36	23.86	22.32
531	67.84	63.78	47.69	31.65	27.98	25.37	23.85	22.32
532	67.91	63.84	47.94	31.64	28.07	25.38	23.85	22.32
533	67.96	63.96	47.86	31.61	28.06	25.39	23.87	22.35
534	68.04	64.07	47.58	31.71	28.04	25.40	23.89	22.36
535	68.03	64.06	47.95	31.66	28.06	25.41	23.92	22.35
536	68.04	63.93	47.72	31.44	28.05	25.42	23.93	22.34
537	68.11	64.01	47.40	31.28	28.01	25.43	23.93	22.33
538	68.24	64.16	47.36	31.17	27.97	25.45	23.95	22.34
539	68.26	64.21	47.13	31.11	27.98	25.47	23.98	22.34
540	68.24	64.31	47.73	31.10	27.99	25.49	24.01	22.35
541	68.33	64.33	47.55	31.24	28.00	25.50	24.03	22.34
542	68.16	64.22	47.29	31.12	28.06	25.50	24.02	22.34
543	68.07	64.34	47.58	31.27	28.09	25.51	24.01	22.34
544	67.92	64.16	47.94	31.44	28.13	25.52	24.03	22.34
545	68.10	64.25	48.24	31.47	28.15	25.55	24.02	22.31
546	68.35	64.49	48.34	31.42	28.15	25.56	24.00	22.29
547	68.44	64.67	48.58	31.35	28.14	25.56	24.01	22.29
548	68.61	64.54	48.28	31.35	28.16	25.58	24.02	22.28
549	68.66	64.58	47.96	31.16	28.16	25.59	24.01	22.28
550	68.60	64.19	47.66	31.05	28.19	25.61	24.01	22.29
551	68.29	64.30	47.63	31.05	28.23	25.62	24.01	22.32
552	68.23	64.38	47.37	31.14	28.25	25.63	24.03	22.33
553	68.33	64.41	47.30	31.16	28.28	25.65	24.04	22.32
554	68.54	64.77	47.87	31.56	28.26	25.66	24.04	22.30
555	68.88	65.06	48.46	31.62	28.34	25.69	24.10	22.30
556	69.04	65.21	48.69	31.66	28.42	25.71	24.11	22.28
557	69.13	65.01	48.83	31.82	28.49	25.73	24.09	22.29
558	69.05	65.14	48.67	32.11	28.50	25.74	24.10	22.29
559	69.12	65.27	48.95	31.97	28.47	25.75	24.10	22.29
560	69.14	65.18	48.86	31.60	28.41	25.75	24.10	22.30
561	69.08	65.13	48.40	31.44	28.34	25.76	24.11	22.31
562	68.99	65.02	48.56	31.45	28.33	25.77	24.11	22.30
563	69.08	65.19	48.71	31.84	28.36	25.80	24.17	22.29
564	69.17	65.30	49.03	31.69	28.46	25.85	24.21	22.32
565	69.23	65.32	48.77	32.00	28.47	25.84	24.20	22.33
566	69.27	65.33	49.08	32.35	28.52	25.85	24.22	22.34
567	69.32	65.37	48.67	32.30	28.55	25.87	24.28	22.36
568	69.14	64.93	48.56	32.42	28.66	25.88	24.29	22.36
569	68.95	64.76	49.08	32.70	28.71	25.89	24.31	22.36
570	69.28	65.29	49.60	32.80	28.74	25.90	24.32	22.36
571	69.50	65.57	49.91	32.64	28.73	25.93	24.35	22.37
572	69.64	65.61	49.88	32.45	28.68	25.94	24.34	22.35
573	69.68	65.68	49.56	32.05	28.68	25.95	24.32	22.34
574	69.63	65.74	49.63	31.91	28.65	25.96	24.31	22.34
575	69.63	65.71	49.42	31.82	28.63	25.98	24.29	22.34
576	69.59	65.61	48.85	31.84	28.70	25.98	24.32	22.32
577	69.59	65.48	48.84	31.84	28.68	25.99	24.31	22.33
578	69.66	65.69	48.95	31.82	28.69	26.02	24.34	22.34
579	69.81	65.77	48.88	31.93	28.75	26.04	24.34	22.33
580	69.95	65.73	48.65	32.29	28.86	26.04	24.32	22.33
581	69.76	65.58	49.08	32.22	28.85	26.05	24.34	22.36
582	69.90	65.93	49.09	31.98	28.84	26.08	24.37	22.37
583	69.95	65.83	48.96	32.17	28.86	26.08	24.38	22.37
584	69.96	65.49	49.44	32.50	28.88	26.10	24.37	22.39
585	69.65	65.62	49.31	32.48	29.00	26.13	24.39	22.35
586	69.04	65.48	49.84	32.80	29.08	26.13	24.36	22.33
587	69.20	65.94	50.06	32.81	29.08	26.12	24.34	22.30
588	69.56	66.19	50.11	32.80	29.09	26.13	24.35	22.32
589	69.62	66.30	49.93	32.53	29.06	26.15	24.41	22.32
590	69.86	66.21	49.48	32.12	29.02	26.16	24.41	22.30
591	70.11	66.35	49.53	32.19	29.01	26.18	24.39	22.30
592	70.21	66.38	49.92	32.30	28.97	26.18	24.36	22.28
593	70.25	66.38	49.77	32.28	28.98	26.20	24.35	22.28
594	70.25	66.28	49.73	32.48	29.01	26.21	24.32	22.30
595	70.17	66.39	50.16	32.62	29.05	26.23	24.35	22.32
596	70.25	66.48	50.19	32.78	29.08	26.24	24.36	22.33
597	70.31	66.54	50.01	32.70	29.12	26.26	24.42	22.33
598	70.43	66.60	49.64	32.63	29.17	26.29	24.42	22.32
599	70.57	66.51	50.13	32.95	29.16	26.29	24.44	22.34
600	70.60	66.68	50.11	33.00	29.16	26.31	24.45	22.34
601	70.49	66.72	50.54	33.19	29.12	26.32	24.44	22.34
602	70.53	66.79	50.68	33.24	29.24	26.34	24.45	22.34
603	70.63	66.82	49.96	33.40	29.31	26.35	24.45	22.32
604	70.67	66.80	49.66	33.21	29.36	26.37	24.45	22.31
605	70.25	66.26	49.62	33.42	29.39	26.38	24.46	22.32
606	70.19	66.60	49.78	33.32	29.39	26.39	24.49	22.32
607	70.22	66.71	49.58	33.17	29.40	26.40	24.51	22.32
608	70.26	66.58	49.64	32.70	29.41	26.41	24.52	22.35
609	70.51	66.93	49.96	32.54	29.41	26.43	24.54	22.37
610	70.49	66.97	49.88	32.56	29.38	26.45	24.57	22.40
611	70.54	67.06	50.22	32.49	29.39	26.46	24.60	22.41
612	70.73	66.83	50.60	32.69	29.40	26.48	24.63	22.43
613	70.77	67.09	50.73	32.84	29.42	26.49	24.64	22.43
614	71.00	67.06	50.61	32.88	29.35	26.48	24.62	22.40
615	71.12	67.23	50.86	32.78	29.38	26.50	24.67	22.43
616	71.21	67.33	50.61	32.70	29.42	26.51	24.66	22.42
617	71.18	67.26	50.17	32.97	29.51	26.53	24.69	22.42
618	71.13	67.00	49.93	33.51	29.56	26.58	24.67	22.41
619	70.86	67.02	50.44	33.44	29.69	26.60	24.67	22.41
620	70.96	67.14	50.95	33.42	29.70	26.63	24.68	22.40
621	71.22	67.49	51.16	33.13	29.71	26.65	24.70	22.40
622	71.41	67.64	50.63	33.16	29.77	26.65	24.70	22.40
623	71.54	67.66	50.50	33.13	29.81	26.67	24.70	22.39
624	71.31	67.13	50.71	33.38	29.81	26.67	24.68	22.36
625	71.31	67.49	51.14	33.30	29.80	26.66	24.70	22.36
626	71.56	67.49	50.74	33.20	30.02	26.70	24.75	22.36
627	71.32	67.25	50.84	33.52	30.16	26.74	24.75	22.36
628	71.33	67.64	51.27	33.82	30.17	26.72	24.72	22.35
629	71.47	67.85	51.48	33.83	30.09	26.73	24.72	22.34
630	71.56	67.93	51.51	33.41	30.02	26.74	24.75	22.36
631	71.61	67.80	51.17	33.49	29.98	26.76	24.78	22.37
632	71.57	67.49	50.96	33.67	29.97	26.77	24.81	22.34
633	71.53	67.83	51.41	33.54	29.94	26.76	24.78	22.34
634	71.72	67.87	51.11	33.59	30.04	26.77	24.74	22.34
635	71.87	67.96	50.98	33.67	29.97	26.79	24.72	22.33
636	71.89	68.09	51.21	33.69	29.88	26.81	24.74	22.35
637	71.93	68.05	51.18	33.60	29.88	26.82	24.79	22.36
638	71.98	68.17	50.98	33.47	29.85	26.84	24.83	22.36
639	71.98	68.14	51.02	33.57	29.93	26.85	24.83	22.36
640	72.06	68.14	51.35	33.59	29.93	26.86	24.85	22.34
641	72.11	68.20	51.42	33.45	29.91	26.86	24.84	22.33
642	72.14	68.25	51.74	33.58	29.97	26.89	24.82	22.36
643	72.19	68.24	51.94	33.82	29.99	26.91	24.87	22.37
644	72.07	68.23	52.08	33.79	30.01	26.94	24.96	22.38
645	72.04	68.07	51.40	34.02	30.04	26.97	24.97	22.37
646	71.35	67.25	51.31	34.22	30.07	26.97	24.98	22.37
647	71.12	67.70	51.52	34.01	30.08	26.98	24.97	22.39
648	71.54	68.15	51.82	33.75	30.06	26.99	24.96	22.37
649	71.88	68.31	51.59	33.64	30.07	27.01	24.94	22.36
650	72.09	68.26	51.21	33.35	29.98	27.01	24.96	22.37
651	72.05	68.38	50.81	33.15	29.99	27.00	24.95	22.37
652	72.08	68.39	51.21	33.19	30.03	27.02	24.94	22.39
653	72.12	68.36	51.53	33.49	30.07	27.05	24.94	22.37
654	72.21	68.61	52.17	33.46	30.06	27.05	24.91	22.37
655	72.25	68.62	52.33	33.44	30.04	27.06	24.91	22.35
656	72.27	68.54	51.86	33.60	30.06	27.07	24.93	22.37
657	72.10	67.97	52.03	33.75	30.04	27.07	24.93	22.36
658	72.10	68.39	52.22	33.78	30.02	27.10	24.91	22.34
659	72.29	68.61	52.03	33.74	29.97	27.10	24.90	22.34
660	72.38	68.67	52.08	33.52	29.99	27.11	24.92	22.34
661	72.40	68.66	51.46	33.64	30.07	27.13	24.94	22.36
662	72.36	68.65	52.11	33.64	30.18	27.16	24.97	22.36
663	72.56	68.83	51.52	33.82	30.30	27.18	25.02	22.36
664	72.68	68.72	51.39	34.22	30.30	27.20	25.05	22.38
665	72.81	68.86	51.88	34.01	30.31	27.21	25.09	22.40
666	72.97	69.06	51.50	33.69	30.33	27.22	25.09	22.37
667	73.07	69.03	51.76	33.51	30.33	27.23	25.05	22.37
668	73.14	69.13	51.88	33.57	30.33	27.23	25.05	22.37
669	73.05	69.22	51.80	33.64	30.35	27.24	25.06	22.38
670	73.06	69.00	52.15	33.57	30.40	27.25	25.03	22.35
671	73.09	69.15	51.99	33.57	30.46	27.27	25.03	22.32
672	73.07	69.19	51.65	33.47	30.43	27.28	25.06	22.33
673	73.05	69.09	51.26	33.47	30.42	27.30	25.12	22.35
674	73.03	69.27	51.05	33.62	30.46	27.31	25.16	22.36
675	73.12	69.37	51.65	33.70	30.53	27.35	25.21	22.37
676	73.26	69.47	52.01	33.65	30.53	27.37	25.21	22.36
677	73.31	69.47	52.08	33.70	30.51	27.37	25.19	22.36
678	73.32	69.49	52.57	33.88	30.46	27.36	25.19	22.37
679	73.33	69.49	52.73	33.93	30.43	27.38	25.22	22.37
680	72.95	69.06	52.84	33.96	30.50	27.39	25.20	22.35
681	72.84	69.38	52.58	34.18	30.58	27.41	25.19	22.37
682	73.09	69.35	52.16	34.54	30.63	27.44	25.21	22.37
683	73.21	69.00	52.18	34.47	30.58	27.44	25.23	22.37
684	72.63	68.79	51.92	34.45	30.57	27.44	25.21	22.36
685	72.87	69.28	52.15	34.30	30.56	27.44	25.18	22.35
686	73.12	69.43	51.83	34.45	30.71	27.45	25.20	22.37
687	73.20	69.44	51.57	34.55	30.77	27.49	25.22	22.37
688	73.27	69.47	51.97	34.40	30.79	27.50	25.23	22.37
689	73.30	69.55	52.52	34.48	30.85	27.50	25.25	22.38
690	73.36	69.63	52.70	34.64	30.83	27.51	25.26	22.37
691	73.39	69.62	52.80	34.92	30.83	27.51	25.26	22.36
692	73.33	69.64	53.14	35.25	30.80	27.52	25.26	22.37
693	73.27	69.71	53.36	35.24	30.86	27.54	25.28	22.38
694	73.33	69.73	53.53	35.35	30.94	27.57	25.28	22.37
695	73.38	69.70	53.66	35.46	30.95	27.58	25.27	22.36
696	73.41	69.72	53.71	35.47	31.00	27.58	25.27	22.36
697	73.38	69.78	53.62	35.12	31.05	27.60	25.32	22.37
698	73.36	69.62	53.08	35.41	31.07	27.64	25.41	22.37
699	73.49	69.66	53.33	35.31	31.01	27.66	25.43	22.36
700	73.32	69.24	52.83	35.41	31.07	27.68	25.41	22.37
701	72.98	69.56	53.23	35.52	31.04	27.68	25.42	22.37
702	73.23	69.80	53.25	35.27	31.01	27.71	25.41	22.37
703	73.38	69.79	53.03	34.94	31.06	27.70	25.36	22.35
704	73.39	69.71	53.00	34.84	31.09	27.71	25.38	22.37
705	73.32	69.92	52.75	34.88	31.08	27.74	25.43	22.34
706	73.49	70.00	52.30	35.20	31.10	27.76	25.51	22.35
707	73.64	69.73	52.46	34.86	31.17	27.79	25.58	22.35
708	73.80	69.98	52.97	35.23	31.36	27.79	25.55	22.34
709	73.61	70.07	53.47	35.22	31.29	27.80	25.55	22.35
710	73.90	70.36	53.75	34.93	31.22	27.80	25.56	22.36
711	73.96	70.44	53.34	34.99	31.15	27.81	25.54	22.39
712	74.00	70.51	53.67	35.00	31.14	27.82	25.54	22.40
713	74.18	70.55	53.68	35.35	31.15	27.84	25.54	22.41
714	74.29	70.55	53.91	35.61	31.14	27.84	25.57	22.42
715	74.31	70.52	53.35	35.52	31.17	27.87	25.60	22.42
716	73.72	70.08	53.21	35.69	31.27	27.91	25.62	22.43
717	73.52	70.38	53.54	35.17	31.31	27.93	25.63	22.43
718	73.86	70.47	53.86	35.37	31.26	27.91	25.61	22.43
719	74.13	70.58	54.04	35.44	31.23	27.92	25.63	22.43
720	74.18	70.52	54.06	35.50	31.31	27.94	25.65	22.44
721	74.33	70.52	53.37	35.84	31.44	27.95	25.67	22.41
722	74.37	70.59	53.17	35.92	31.41	27.96	25.66	22.40
723	74.40	70.63	53.45	35.82	31.39	27.99	25.64	22.39
724	74.44	70.68	53.47	35.52	31.36	28.00	25.65	22.37
725	74.43	70.59	53.10	34.80	31.36	27.99	25.63	22.35
726	74.25	70.56	52.93	34.23	31.24	28.00	25.63	22.33
727	74.36	70.61	52.88	34.29	31.18	28.01	25.65	22.34
728	74.36	70.56	52.89	34.12	31.12	28.02	25.66	22.33
729	74.39	70.56	52.32	34.24	31.08	28.03	25.64	22.32
730	74.23	70.24	52.93	34.83	31.17	28.05	25.66	22.35
731	73.54	69.70	53.19	35.35	31.34	28.07	25.70	22.35
732	73.44	70.02	53.57	35.51	31.40	28.08	25.71	22.34
733	73.77	70.61	53.58	35.33	31.45	28.09	25.75	22.36
734	74.36	70.84	53.89	35.32	31.48	28.12	25.76	22.38
735	74.43	70.38	53.59	36.08	31.50	28.14	25.79	22.38
736	73.92	70.21	53.81	36.03	31.49	28.16	25.81	22.38
737	73.82	70.53	54.24	35.99	31.47	28.19	25.82	22.40
738	74.27	70.87	54.41	35.94	31.48	28.19	25.83	22.39
739	74.52	70.98	54.35	36.16	31.53	28.18	25.78	22.37
740	74.69	71.11	54.63	36.19	31.50	28.17	25.74	22.37
741	74.82	71.26	54.00	35.78	31.49	28.19	25.77	22.38
742	74.82	71.06	53.68	35.43	31.49	28.21	25.85	22.40
743	74.93	71.14	53.33	35.41	31.50	28.23	25.90	22.40
744	74.93	70.60	53.57	35.32	31.47	28.24	25.82	22.40
745	74.79	70.82	53.58	35.13	31.47	28.27	25.78	22.38
746	74.72	71.11	53.70	35.40	31.46	28.27	25.79	22.39
747	74.82	71.09	53.67	35.09	31.47	28.28	25.81	22.39
748	74.86	70.97	53.51	34.68	31.43	28.28	25.80	22.38
749	74.93	71.16	53.19	34.66	31.44	28.28	25.77	22.37
750	74.91	71.09	53.80	34.69	31.48	28.29	25.78	22.38
751	74.65	71.15	53.70	34.82	31.52	28.31	25.76	22.38
752	74.82	71.24	53.79	35.19	31.52	28.32	25.77	22.38
753	75.06	71.45	54.45	34.90	31.46	28.32	25.75	22.35
754	75.13	71.33	53.97	35.14	31.47	28.34	25.73	22.35
755	75.16	71.31	53.51	35.05	31.53	28.35	25.77	22.35
756	75.23	71.37	53.62	34.91	31.59	28.37	25.79	22.37
757	75.39	71.48	53.90	35.29	31.68	28.37	25.75	22.34
758	75.44	71.49	54.25	35.39	31.76	28.37	25.75	22.36
759	75.43	71.59	54.28	35.12	31.75	28.39	25.81	22.40
760	75.41	71.61	53.81	35.00	31.70	28.40	25.82	22.37
761	75.49	71.60	53.96	35.20	31.75	28.42	25.83	22.36
762	75.59	71.61	54.31	35.18	31.71	28.45	25.85	22.38
763	75.58	71.66	53.71	35.20	31.77	28.51	25.89	22.37
764	75.70	71.56	53.95	35.33	31.84	28.54	25.88	22.38
765	75.73	71.53	54.15	35.59	31.83	28.55	25.91	22.37
766	75.79	71.71	54.65	35.50	31.78	28.56	25.96	22.39
767	75.78	71.74	54.63	35.54	31.93	28.56	25.94	22.36
768	75.72	71.71	54.58	35.86	31.99	28.56	25.92	22.38
769	75.73	71.79	55.02	35.67	31.99	28.55	25.89	22.36
770	75.47	71.87	54.59	35.48	32.02	28.55	25.88	22.34
771	75.39	71.94	54.60	35.42	32.05	28.56	25.92	22.36
772	75.47	71.94	54.23	35.64	32.06	28.58	25.96	22.36
773	75.29	71.50	54.69	35.56	32.07	28.59	26.03	22.37
774	75.40	71.84	54.69	35.45	32.12	28.63	26.07	22.37
775	75.64	72.03	54.66	35.32	32.01	28.63	26.04	22.37
776	75.79	72.11	54.82	35.55	32.04	28.65	26.02	22.40
777	75.83	71.94	54.96	36.04	32.07	28.64	26.02	22.40
778	75.83	72.01	55.19	36.18	32.13	28.66	26.01	22.39
779	75.74	71.98	54.68	35.65	32.20	28.67	26.03	22.40
780	75.63	71.65	54.16	35.41	32.19	28.69	26.09	22.41
781	75.31	71.72	54.65	35.36	32.23	28.71	26.04	22.39
782	75.54	72.05	54.96	35.91	32.24	28.70	26.02	22.40
783	75.70	72.20	55.26	36.04	32.27	28.71	26.00	22.37
784	75.69	72.29	55.38	36.10	32.22	28.70	25.94	22.35
785	75.73	72.34	55.05	36.08	32.19	28.70	25.92	22.34
786	75.73	72.11	54.73	35.77	32.30	28.72	25.88	22.33
787	75.79	71.93	54.15	35.67	32.26	28.74	25.85	22.34
788	75.90	72.11	54.64	35.63	32.28	28.77	25.93	22.35
789	75.94	72.30	55.31	35.41	32.39	28.78	25.93	22.36
790	76.14	72.36	55.62	35.51	32.38	28.78	25.93	22.34
791	76.25	72.37	55.84	35.51	32.47	28.80	25.94	22.34
792	76.28	72.36	55.69	35.76	32.45	28.82	26.03	22.35
793	76.35	72.34	55.89	35.72	32.41	28.83	26.11	22.34
794	76.37	72.37	55.50	35.72	32.45	28.85	26.11	22.35
795	76.41	72.34	55.27	35.88	32.41	28.87	26.07	22.37
796	76.41	72.25	55.35	35.83	32.45	28.89	26.06	22.37
797	76.28	72.33	55.21	35.81	32.48	28.91	26.12	22.37
798	76.08	72.48	54.58	35.76	32.54	28.94	26.22	22.39
799	76.21	72.35	54.96	35.87	32.63	28.98	26.30	22.41
800	76.17	72.42	55.11	35.88	32.67	29.01	26.39	22.41
801	76.32	72.49	54.94	35.92	32.69	29.03	26.40	22.38
802	76.16	72.23	54.76	35.88	32.82	29.04	26.36	22.37
803	75.59	72.31	55.19	35.66	32.88	29.05	26.39	22.37
804	75.90	72.57	55.08	35.75	32.89	29.05	26.38	22.37
805	76.07	72.73	54.67	35.63	32.90	29.03	26.31	22.36
806	76.21	72.54	54.50	36.01	32.87	29.06	26.34	22.37
807	75.93	72.07	54.39	35.95	32.83	29.09	26.34	22.36
808	75.74	72.08	54.40	35.88	32.78	29.09	26.31	22.38
809	76.19	72.71	54.92	35.64	32.73	29.09	26.34	22.37
810	76.47	72.90	54.57	35.70	32.69	29.09	26.28	22.35
811	76.58	72.93	54.38	35.47	32.73	29.08	26.29	22.35
812	76.28	73.12	54.82	35.41	32.60	29.08	26.29	22.35
813	76.57	73.22	55.34	35.53	32.63	29.07	26.26	22.35
814	76.83	73.17	55.47	35.65	32.65	29.08	26.29	22.39
815	76.90	73.12	55.20	35.48	32.60	29.12	26.34	22.38
816	76.99	73.14	55.42	35.73	32.77	29.14	26.33	22.38
